Year,Hour,ElectricityProduction,HeatProduction,PurchasedElectricity,HeatOverProduction,ElectricityOverProduction,CO2Emissions,HeatStored,HeatWithdrawn,ElecReductionByCHP,HeatReductionByCHP,GridReductionShortfall,HeatToElec,UsefulHeat,UsefulElec,HeatToPlant,ElecToPlant,RefrigerationProduced,HeatUsedForCooling,ElecUsedForCooling,RampRate,ProductionOutput
0,5961,0.0,2311.1499999836933,734.9999999982215,7.843422722784396e-08,0.0,0.0,62.10624973409099,1.8592564667120932e-07,1.7785270509917208e-09,1.7785270509917208e-09,0.0,0.0,2311.149999905259,0.0,2264.8999999982216,0.0,185.0,92.5,0.0,400.0,2399.1999999971545
0,5962,0.0,2441.9000000236906,679.9999999982435,7.54551897586499e-08,0.0,0.0,59.00093708508169,1.0001617113937216e-07,1.7564371282076876e-09,1.7564371282076876e-09,0.0,0.0,2441.8999999482353,0.0,2395.899999998244,0.0,184.0,92.0,0.0,400.0,2459.9999999971897
0,5963,0.0,2041.9000001436195,630.9999999982714,43.000000176760224,0.0,0.0,77.5508901935585,6.282462165519506e-08,1.7286262829812258e-09,1.7286262829812258e-09,0.0,0.0,1998.8999999668592,0.0,1952.8999999982714,0.0,184.0,92.0,0.0,400.0,2066.3999999972343
0,5964,0.0,2006.4000002052599,591.9999999982678,2.3654952910536372e-07,0.0,0.0,73.67334568392553,5.9114910270273776e-08,1.7322112443026921e-09,1.7322112443026921e-09,0.0,0.0,2006.3999999687103,0.0,1956.899999998268,0.0,198.0,99.0,0.0,400.0,2038.3999999972284
0,5965,0.0,1953.150000142341,605.9999999982599,1.743458981114891e-07,0.0,0.0,69.98967836584234,6.052993091693475e-08,1.7401415783179462e-09,1.7401415783179462e-09,0.0,0.0,1953.1499999679952,0.0,1899.89999999826,0.0,213.0,106.5,0.0,400.0,2003.9999999972156
0,5966,0.0,2137.90000060558,713.999999998279,6.301931274850613e-07,0.0,0.0,66.49019467107611,4.5785330363352665e-08,1.7210067708027864e-09,1.7210067708027864e-09,0.0,0.0,2137.899999975387,0.0,2090.899999998279,0.0,188.0,94.0,0.0,400.0,2243.1999999972463
0,5967,0.0,1941.649999977377,558.9999999981726,5.528284734555235e-08,0.0,0.0,63.165684660848314,1.5215771482285063e-07,1.8273876915650579e-09,1.8273876915650579e-09,0.0,0.0,1941.6499999220941,0.0,1890.8999999981727,0.0,203.0,101.5,0.0,400.0,1959.199999997076
0,5968,0.0,2253.650000028696,576.9999999981974,7.195438303923446e-08,0.0,0.0,60.007400297961674,8.291070121885978e-08,1.802626314676467e-09,1.802626314676467e-09,0.0,0.0,2253.649999956742,0.0,2198.8999999981975,0.0,219.0,109.5,0.0,400.0,2219.999999997116
0,5969,0.0,1874.4000000365763,718.9999999981998,7.439210489578957e-08,0.0,0.0,57.007030176196956,7.20313622312567e-08,1.8001870763295564e-09,1.8001870763295564e-09,0.0,0.0,1874.3999999621842,0.0,1826.8999999982,0.0,190.0,95.0,0.0,400.0,2035.9999999971196
0,5970,0.0,2100.4000000601536,567.9999999982119,9.022282200719745e-08,0.0,0.0,54.15667859937392,5.6562293242532656e-08,1.7880890258296724e-09,1.7880890258296724e-09,0.0,0.0,2100.399999969931,0.0,2050.899999998212,0.0,198.0,99.0,0.0,400.0,2094.399999997139
0,5971,0.0,2253.0377888649,717.9999999980722,1.7981429956297883e-08,0.0,0.0,7.378003220682775e-08,25.724422302307957,1.92777579465798e-09,1.92777579465798e-09,0.0,0.0,2253.0377888469184,0.0,2215.8999999980724,0.0,200.0,100.0,0.0,400.0,2346.399999996916
